object,defect,IC_LPIPS
bottle_ablation_defect,contamination,0.24
bottle_ablation_defect,broken_large,0.00
bottle_ablation_defect,broken_small,0.13
bottle_ablation_defect,AVERAGE,0.12
bottle_ablation_obj,contamination,0.16
bottle_ablation_obj,broken_large,0.00
bottle_ablation_obj,broken_small,0.13
bottle_ablation_obj,AVERAGE,0.10
bottle_ablation_attn,contamination,0.17
bottle_ablation_attn,broken_large,0.00
bottle_ablation_attn,broken_small,0.13
bottle_ablation_attn,AVERAGE,0.10
leather,fold,0.25
leather,glue,0.23
leather,cut,0.23
leather,poke,0.23
leather,color,0.23
leather,AVERAGE,0.24
bottle,contamination,0.17
bottle,broken_large,0.00
bottle,broken_small,0.15
bottle,AVERAGE,0.11
OVERALL,AVERAGE,0.14
