object,defect,n_pairs,LPIPS_mean,LPIPS_std
bottle,broken_large,20,0.28,0.04
bottle,broken_small,22,0.19,0.03
bottle,contamination,21,0.38,0.16
bottle,AVERAGE,,0.28,
bottle_ablation_attn,broken_large,20,0.29,0.05
bottle_ablation_attn,broken_small,22,0.19,0.03
bottle_ablation_attn,contamination,21,0.37,0.14
bottle_ablation_attn,AVERAGE,,0.28,
bottle_ablation_defect,broken_large,20,0.29,0.04
bottle_ablation_defect,broken_small,22,0.19,0.03
bottle_ablation_defect,contamination,21,0.37,0.14
bottle_ablation_defect,AVERAGE,,0.29,
bottle_ablation_obj,broken_large,20,0.29,0.04
bottle_ablation_obj,broken_small,22,0.19,0.03
bottle_ablation_obj,contamination,21,0.37,0.14
bottle_ablation_obj,AVERAGE,,0.29,
leather,color,19,0.24,0.01
leather,cut,19,0.26,0.02
leather,fold,17,0.27,0.03
leather,glue,19,0.24,0.03
leather,poke,18,0.24,0.01
leather,AVERAGE,,0.25,
OVERALL,AVERAGE,,0.27,
