object,defect,FID,KID_mean,KID_std
bottle_ablation_defect,contamination,188.64,0.07,0.00
bottle_ablation_defect,broken_large,138.81,0.10,0.00
bottle_ablation_defect,broken_small,103.88,0.05,0.00
bottle_ablation_defect,AVERAGE,143.78,0.07,0.00
bottle_ablation_obj,contamination,191.77,0.07,0.00
bottle_ablation_obj,broken_large,112.10,0.05,0.00
bottle_ablation_obj,broken_small,96.20,0.02,0.00
bottle_ablation_obj,AVERAGE,133.36,0.05,0.00
bottle_ablation_attn,contamination,170.94,0.05,0.00
bottle_ablation_attn,broken_large,122.71,0.08,0.00
bottle_ablation_attn,broken_small,91.93,0.03,0.00
bottle_ablation_attn,AVERAGE,128.53,0.05,0.00
leather,fold,198.82,0.15,0.00
leather,glue,133.50,0.04,0.00
leather,cut,88.71,0.02,0.00
leather,poke,88.67,0.05,0.00
leather,color,72.92,0.03,0.00
leather,AVERAGE,116.52,0.06,0.00
bottle,contamination,197.03,0.09,0.00
bottle,broken_large,109.83,0.04,0.00
bottle,broken_small,106.16,0.05,0.00
bottle,AVERAGE,137.67,0.06,0.00
OVERALL,AVERAGE,130.15,0.06,0.00
